,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
1259,dev-1259,Jane held the magnet close to the coin.,The coin is attracted by the magnet.,A coin is often made of ferromagnetic metals.,is the coin attracted by the magnet?,why is the coin attracted by the magnet?,jane held the magnet close to the coin?,is the coin attracted by the magnet?,why is the coin attracted by the magnet?,jane held the magnet close to the coin?
1260,dev-1260,Jack wants to join Christianity.,He went to church to be baptized.,Baptism is a covenantal ceremony.,what type of church did jack go to?,what is the cause of jack going to church?,what type of church did jack go to?,what type of church did jack go to?,what is the cause of jack going to church?,what type of church did jack go to?
1261,dev-1261,Missles were used to attack us.,We were killed by nuclear weapons.,Missiles carry nuclear weapons.,what kind of weapons were used to attack us?,what is the cause of the use of missles?,what were missles used for?,what kind of weapons were used to attack us?,what is the cause of the use of missles?,what were missles used for?
1262,dev-1262,They studied the features of leech.,They found that they can grow to eight inches long.,Leeches can grow to be eight inches long.,why does They studied the features of leech cause They found that they can grow to eight inches long?,"what the leech? leech? leech? leech, leech?",what is the name of the company that makes leeches?,why does They studied the features of leech cause They found that they can grow to eight inches long?,"what the leech? leech? leech? leech, leech?",what is the name of the company that makes leeches?
1263,dev-1263,The staff in this hotel are well-trained in this hotel.,They can offer the guests with good service.,Staff offer quality.,are the staff trained in this hotel?,what is the cause of the staff being well trained in this hotel?,what does the staff in this hotel offer the guests?,are the staff trained in this hotel?,what is the cause of the staff being well trained in this hotel?,what does the staff in this hotel offer the guests?
1264,dev-1264,Mike kept several poodles.,Mike prepared enough proteins for them.,Poodles need proteins.,how many poodles did mike keep?,why did mike keep several poodles?,why does Mike kept several poodles cause Mike prepared enough proteins for them?,how many poodles did mike keep?,why did mike keep several poodles?,why does Mike kept several poodles cause Mike prepared enough proteins for them?
1265,dev-1265,Tom and Maria are good friends.,They learn a lot from each other.,Friendships can have effects.,what do tom and maria learn from each other?,how do tom and maria learn from each other?,what do tom and maria learn from each other?,what do tom and maria learn from each other?,how do tom and maria learn from each other?,what do tom and maria learn from each other?
1266,dev-1266,Tom has burdens.,Tom was in poor health.,Burdens affect health.,what kind of burdens did tom have?,what was the reason for tom's poor health?,what is the reason for tom's poor health?,what kind of burdens did tom have?,what was the reason for tom's poor health?,what is the reason for tom's poor health?
1267,dev-1267,The tetrapods' tooth is romoved.,The tetrapod can't ea now.,Tetrapods have single teeth.,why does The tetrapods' tooth is romoved cause The tetrapod can't ea now?,the tetrapod's tooth is romoved?,why can't the tetrapods ea?,why does The tetrapods' tooth is romoved cause The tetrapod can't ea now?,the tetrapod's tooth is romoved?,why can't the tetrapods ea?
1268,dev-1268,Tom went to the eastern United States.,He saw a lot of dogwoods.,Dogwood is a common flowering tree of the eastern United States.,what was the name of the eastern united states?,why did tom go to the eastern united states?,did tom go to the eastern united states?,what was the name of the eastern united states?,why did tom go to the eastern united states?,did tom go to the eastern united states?
1269,dev-1269,Tom went to his vegetable shed.,He saw a lot of aphids.,Aphids feed on a wide range of greenhouse crops.,tom went to his vegetable shed where he saw a lot of aphids?,what caused tom to go to his vegetable shed?,why did tom see a lot of aphids?,tom went to his vegetable shed where he saw a lot of aphids?,what caused tom to go to his vegetable shed?,why did tom see a lot of aphids?
1270,dev-1270,Tom has caught an aphid in the bottle.,He found something sticky and stick in the bottle.,Aphids leave behind a sticky thick substance known as honeydew.,what has tom found in the bottle?,what is the cause of an aphid being found in a bottle?,what is the reason tom has caught an aphid?,what has tom found in the bottle?,what is the cause of an aphid being found in a bottle?,what is the reason tom has caught an aphid?
1271,dev-1271,They studied the features of leech.,They found that they can grow to eight inches long.,Leeches can grow to be eight inches long.,why does They studied the features of leech cause They found that they can grow to eight inches long?,what was the cause of the study of leech?,what is the name of leech?,why does They studied the features of leech cause They found that they can grow to eight inches long?,what was the cause of the study of leech?,what is the name of leech?
1272,dev-1272,Donkeys are lazy.,They always stay in their home.,Donkeys occupy habitats.,donkeys are lazy such that they always stay in their home?,what is the cause of donkeys staying in their home?,why do donkeys stay in their home?,donkeys are lazy such that they always stay in their home?,what is the cause of donkeys staying in their home?,why do donkeys stay in their home?
1273,dev-1273,He has no neural crest.,He doesn't have enough melanocytes in his body.,Melanocytes are cells derived from the neural crest.,does he have a neural crest?,what is the cause of the lack of melanocytes in his body?,why does he not have enough melanocytes in his body?,does he have a neural crest?,what is the cause of the lack of melanocytes in his body?,why does he not have enough melanocytes in his body?
1274,dev-1274,Tom has a talent in running.,He always won in various running competitions.,Winners demonstrate excellence.,what is tom's talent in running?,what is the cause of tom's talent in running?,why did tom always win in running competitions?,what is tom's talent in running?,what is the cause of tom's talent in running?,why did tom always win in running competitions?
1275,dev-1275,The teacher's shameful action made him disgraceful.,He felt sad about his opprobrium.,Opprobrium is disgrace resulting from shameful actions.,how did the teacher's action make him feel?,what effect did the teacher's action have on the student?,how did the student feel about the teacher's opprobrium?,how did the teacher's action make him feel?,what effect did the teacher's action have on the student?,how did the student feel about the teacher's opprobrium?
1276,dev-1276,Tom spent the morning washing clothes and cleaning the room.,He was so tired that he fell asleep.,Fatigue results from everyday activities.,how tired was tom at the end of the day?,what was the cause of tom's fall?,why did tom fall asleep?,how tired was tom at the end of the day?,what was the cause of tom's fall?,why did tom fall asleep?
1277,dev-1277,Melinda went down to the pond to catch crabs.,The pincers scratched her finger.,Crabs wave their pincers in the air as a defense when they are disturbed.,what did the pincers do to melinda's finger?,what caused the pincers to scratch melinda's finger?,what melinda did melinda melinda melinda?,what did the pincers do to melinda's finger?,what caused the pincers to scratch melinda's finger?,what melinda did melinda melinda melinda?
1278,dev-1278,Tom often faces the problem of anxiety.,It is a prominent natural state of  his nature.,Anxiety is the natural state of human nature.,tom often faces the problem of anxiety such as it is a prominent natural state of his nature?,what is the cause and effect of tom's problem of anxiety?,why does Tom often faces the problem of anxiety cause It is a prominent natural state of  his nature?,tom often faces the problem of anxiety such as it is a prominent natural state of his nature?,what is the cause and effect of tom's problem of anxiety?,why does Tom often faces the problem of anxiety cause It is a prominent natural state of  his nature?
1279,dev-1279,The climate here became more and more severe.,The residents here decided to migrate.,Migration depends on climates.,why did the residents decide to migrate?,why did the residents decide to migrate?,why did the residents decide to migrate?,why did the residents decide to migrate?,why did the residents decide to migrate?,why did the residents decide to migrate?
1280,dev-1280,Tommy hopes that azaleas will thrive.,The gardener instructs him to transplant the flowers under the shade of the tree.,Azaleas grow best in partial shade.,who instructs tommy to transplant azaleas flowers?,what is the cause of the gardener instructing tommy to transplant flowers?,what does the gardener instruct him to do?,who instructs tommy to transplant azaleas flowers?,what is the cause of the gardener instructing tommy to transplant flowers?,what does the gardener instruct him to do?
1281,dev-1281,Tom's car tyre got punctured.,He measured the diameter and bought a new  proper tyre.,Wheels have diameters.,tom's car tyre was puncture?,what was tom's reaction to the tyre puncture?,what did tom do after his car tyre punctured?,tom's car tyre was puncture?,what was tom's reaction to the tyre puncture?,what did tom do after his car tyre punctured?
1282,dev-1282,Tom's sphincters are extremely nervous.,He eats something containing peppermints.,Peppermints relax sphincters.,what is tom's sphincters nervous about?,what is the cause of sphincter nervousness?,what does a person's sphincters do when he eats peppermints?,what is tom's sphincters nervous about?,what is the cause of sphincter nervousness?,what does a person's sphincters do when he eats peppermints?
1283,dev-1283,Ethernet was interrupted on my computer.,I cannot get connected to the internet at a high speed.,Ethernet is a high-speed connection to the internet.,what caused me to be unable to get connected to the internet?,what was the cause of ethernet being interrupted on my computer?,why can't i get connected to the internet?,what caused me to be unable to get connected to the internet?,what was the cause of ethernet being interrupted on my computer?,why can't i get connected to the internet?
1284,dev-1284,John went to the shop to pick up surfactants.,They are classified in the low toxicity zone.,Surfactants are generally low in toxicity.,what is the low toxicity zone of surfactants?,what is the cause of the low toxicity of surfactants?,why does John went to the shop to pick up surfactants cause They are classified in the low toxicity zone?,what is the low toxicity zone of surfactants?,what is the cause of the low toxicity of surfactants?,why does John went to the shop to pick up surfactants cause They are classified in the low toxicity zone?
1285,dev-1285,Jack committed carjacking.,This general intent crime analogous to robbery put him into jail.,Carjacking is a general intent crime analogous to robbery.,what happened to jack's car?,what was the effect of jack's carjacking?,what did jack do that put him in jail?,what happened to jack's car?,what was the effect of jack's carjacking?,what did jack do that put him in jail?
1286,dev-1286,Tom lacks ketones in his blood.,His blood flow is not as improved as others with normal ketones level.,Ketones play a role in improved blood flow.,is tom's blood flow as improved as others with ketones?,what is the cause of tom's lack of ketones in his blood?,is tom's blood flow better or worse than others?,is tom's blood flow as improved as others with ketones?,what is the cause of tom's lack of ketones in his blood?,is tom's blood flow better or worse than others?
1287,dev-1287,It is well-drained in the village.,Junipers grow everywhere in the village.,Junipers grow in any type of soil as long as it is well-drained.,why does It is well-drained in the village cause Junipers grow everywhere in the village?,why do junipers grow everywhere in the village?,why do junipers grow everywhere in the village?,why does It is well-drained in the village cause Junipers grow everywhere in the village?,why do junipers grow everywhere in the village?,why do junipers grow everywhere in the village?
1288,dev-1288,Susan took a glass of soda and put it on the table.,"After a few days, the soda water lost its carbonation.",Seltzers tend to loose their carbonation quickly because of the lack of minerals.,what caused the glass of soda to lose its carbonation?,what was the cause of soda's loss of carbonation?,why did the soda water lose its carbonation?,what caused the glass of soda to lose its carbonation?,what was the cause of soda's loss of carbonation?,why did the soda water lose its carbonation?
1289,dev-1289,Tom's knee joints were hurt in a car accident.,He couldn't move his legs.,Joints move legs.,why couldn't tom move his legs?,why couldn't tom move his legs?,why couldn't tom move his legs?,why couldn't tom move his legs?,why couldn't tom move his legs?,why couldn't tom move his legs?
1290,dev-1290,I saw Jane use anemometers to test wind direction.,I told him they could only measure wind speed.,Anemometers are used to measure wind speed instead of wind direction.,what did i tell him about anemometers?,what was the effect of using anemometers?,what did i tell him about jane using anemometers?,what did i tell him about anemometers?,what was the effect of using anemometers?,what did i tell him about jane using anemometers?
1291,dev-1291,Kevin went swimming in a small river.,He found a leech crawling up his leg.,Leeches live in fresh water.,where did kevin find leech crawling up his leg?,what was the cause of the leech crawling up kevin's leg?,"when kevin went swimming, did he find a leech?",where did kevin find leech crawling up his leg?,what was the cause of the leech crawling up kevin's leg?,"when kevin went swimming, did he find a leech?"
1292,dev-1292,The staff conveyed the new ideas they came up with to the customers.,The customer were very satisfied.,Customers receive output.,what did the staff do to the customer to make them feel better about their ideas?,what effect did this have on the customer?,what was the customer's reaction to the new ideas?,what did the staff do to the customer to make them feel better about their ideas?,what effect did this have on the customer?,what was the customer's reaction to the new ideas?
1293,dev-1293,John wanted to measure the declinatio.,He needs to know the degrees of arc.,Declination is measured in degrees of arc.,what degrees of declinatio did john want to know?,why did john want to measure the declinatio?,why does he need to know the degrees of arc?,what degrees of declinatio did john want to know?,why did john want to measure the declinatio?,why does he need to know the degrees of arc?
1294,dev-1294,Anacondas opened their jaws extremely wide.,Anacondas swallowed their victims whole.,Anacondas swallow their victims whole by opening their jaws extremely wide.,why does Anacondas opened their jaws extremely wide cause Anacondas swallowed their victims whole?,anacondas opened their jaws extremely wide?,anacondas swallowed their victims whole?,why does Anacondas opened their jaws extremely wide cause Anacondas swallowed their victims whole?,anacondas opened their jaws extremely wide?,anacondas swallowed their victims whole?
1295,dev-1295,People's reading got fragmentation.,It results in particular problems in their minds.,Fragmentation causes particular problems.,what results in problems in people's minds?,what is the cause of fragmentation in reading?,what type of reading results in problems?,what results in problems in people's minds?,what is the cause of fragmentation in reading?,what type of reading results in problems?
1296,dev-1296,Tom believes in heresy.,Tom questioned various beliefs.,Heresy is the deliberate denial of a truth of faith.,what did tom say about heresy?,what is the cause of tom questioning various beliefs?,why did tom question various beliefs?,what did tom say about heresy?,what is the cause of tom questioning various beliefs?,why did tom question various beliefs?
1297,dev-1297,Tom has suffered from the disease.,"In the late period, sclerosis was manifested on Tom.",Sclerosis is a late manifestation of the disease.,sclerosis was manifested on tom during the late period?,what is the cause of sclerosis?,when was sclerosis manifested on tom?,sclerosis was manifested on tom during the late period?,what is the cause of sclerosis?,when was sclerosis manifested on tom?
1298,dev-1298,Jack eats a lot of green vegetables.,His digestion is very smooth.,Greens can be laxative in large amounts.,what kind of green vegetables does jack eat?,what is the cause of jack's smooth digestion?,how smooth is jack's digestion?,what kind of green vegetables does jack eat?,what is the cause of jack's smooth digestion?,how smooth is jack's digestion?
1299,dev-1299,John wanted to monitor the temperature of the room where he planted mushrooms.,John bought a thermometer and put it the room.,Thermometers measure temperature absolutely.,john wanted to monitor the temperature of the room where he planted mushrooms?,why did john buy a thermometer?,john bought a thermometer and put it in the room?,john wanted to monitor the temperature of the room where he planted mushrooms?,why did john buy a thermometer?,john bought a thermometer and put it in the room?
1300,dev-1300,Alice's baby was always drinking a kind milk which consists of nitrates.,The baby was suffered the blue-baby syndrome.,Nitrates can cause a disease in infants known as blue-baby syndrome.,what kind of kind milk was alice's baby always drinking?,what was the cause of alice's baby always drinking kind milk?,why does Alice's baby was always drinking a kind milk which consists of nitrates cause The baby was suffered the blue-baby syndrome?,what kind of kind milk was alice's baby always drinking?,what was the cause of alice's baby always drinking kind milk?,why does Alice's baby was always drinking a kind milk which consists of nitrates cause The baby was suffered the blue-baby syndrome?
1301,dev-1301,He looked at trilobites.,He saw spines on them.,Trilobites have spines.,what is spines on trilobites?,what did he see on trilobites?,what were spines on the tribites?,what is spines on trilobites?,what did he see on trilobites?,what were spines on the tribites?
1302,dev-1302,Tom was very drunk last night.,Tom is having a hangover.,Hangovers are usually the next-day result after consuming large amounts of alcohol.,what is tom having a hangover from?,what is the cause of a hangover?,what is tom's hangover?,what is tom having a hangover from?,what is the cause of a hangover?,what is tom's hangover?
1303,dev-1303,The old witch protects everything of  the tree of life.,She knows its lineages.,Lineages are parts of the tree of life.,who protects the tree of life?,what is the effect of the old witch?,what does she know about the tree of life?,who protects the tree of life?,what is the effect of the old witch?,what does she know about the tree of life?
1304,dev-1304,Peregrine had an eye on a fish.,The fish was captured by the peregrine.,Peregrines regularly prey on waders.,what type of fish was captured by the peregrine?,what is the effect of the peregrine having an eye on a fish?,why was the fish captured by the peregrine?,what type of fish was captured by the peregrine?,what is the effect of the peregrine having an eye on a fish?,why was the fish captured by the peregrine?
1305,dev-1305,I don't like the smell of onions.,I don't like the smell of scallions.,Scallions commonly known as green onions are in the onion family.,do i like onions or scallions?,do i like the smell of onions?,do i like the smell of scallions or onions?,do i like onions or scallions?,do i like the smell of onions?,do i like the smell of scallions or onions?
1306,dev-1306,Doctors use fungicides to deal with different diseases.,The fungicides play out different levels of activity.,Fungicides have different levels of activity against different diseases.,what do doctors use fungicides to deal with?,why do doctors use fungicides?,how do fungicides play out different levels of activity?,what do doctors use fungicides to deal with?,why do doctors use fungicides?,how do fungicides play out different levels of activity?
1307,dev-1307,Tom poured some salt in the water.,The salt dissappeared.,Salt dissolves in water.,what happened to the salt in the water?,what caused the salt to dissappear?,why did the salt dissappeare?,what happened to the salt in the water?,what caused the salt to dissappear?,why did the salt dissappeare?
1308,dev-1308,Tom carelessly seeded oats in the autumn.,His father prevented him in time which saved a lot of food in another sense.,Oats are prone to rust when seeded in autumn.,what did his father prevent him from doing?,what was the effect of his father preventing tom from seeding oats?,did tom carelessly seed oats in the fall?,what did his father prevent him from doing?,what was the effect of his father preventing tom from seeding oats?,did tom carelessly seed oats in the fall?
1309,dev-1309,Tom is busy with exams recently so he is very nervous.,His father organized the whole family to travel.,Playing causes relaxation.,what is tom's father's name?,what is the cause of tom's anxiety?,why did tom's father organize the family to travel?,what is tom's father's name?,what is the cause of tom's anxiety?,why did tom's father organize the family to travel?
1310,dev-1310,Tom has eaten something containing starches.,His blood sugar has risen.,Starches are also non-reducing sugars.,what has happened to tom's blood sugar?,what has happened to tom's blood sugar?,why has tom's blood sugar risen?,what has happened to tom's blood sugar?,what has happened to tom's blood sugar?,why has tom's blood sugar risen?
1311,dev-1311,The government only protected the property of the rich and had no concern for the individual rights of ordinary people.,The people overthrew the government by election.,Government is instituted by people to protect their rights.,the government only protected the property of the rich?,what is the cause of the lack of concern for individual rights?,did the government protect the property of the rich?,the government only protected the property of the rich?,what is the cause of the lack of concern for individual rights?,did the government protect the property of the rich?
1312,dev-1312,The family provided a bed for their pet dog.,The dog can insulate itself from the cold ground.,Bedding helps insulate animals from the cold ground.,what kind of bed was provided for the dog?,why did the family provide a bed for their pet?,the dog can insulate itself from the cold ground because the family provided a bed?,what kind of bed was provided for the dog?,why did the family provide a bed for their pet?,the dog can insulate itself from the cold ground because the family provided a bed?
1313,dev-1313,Tom likes eating a lot of turnips.,He was filled with vitamins.,Turnips contain beneficial vitamins.,what kind of food does tom like to eat?,what was the cause of tom's consumption of turnips?,what kind of vitamins was tom's book filled with?,what kind of food does tom like to eat?,what was the cause of tom's consumption of turnips?,what kind of vitamins was tom's book filled with?
1314,dev-1314,Their enemies' signal disturbed radio frequency waves.,Our ground penetrating radar failed to detect subsurface features.,Ground penetrating radar utilizes radio frequency waves to detect subsurface features.,the ground penetrating radar is what?,what caused the ground penetrating radar to ground penetrating radar to fail to detect?,why didn't ground penetrating radar detect subsurface features?,the ground penetrating radar is what?,what caused the ground penetrating radar to ground penetrating radar to fail to detect?,why didn't ground penetrating radar detect subsurface features?
1315,dev-1315,I want to borrow some money.,I turn to banks for help.,Banks lend money to people.,what kind of money do i want to borrow?,what is it called when someone wants to borrow money?,why do i turn to banks for help?,what kind of money do i want to borrow?,what is it called when someone wants to borrow money?,why do i turn to banks for help?
1316,dev-1316,Tom graduated from university.,Tom needs to choose working or going abroad.,Selections take places.,tom needs to choose between working or going abroad?,why did tom need to choose between working or going abroad?,what does tom need to choose between working or going abroad?,tom needs to choose between working or going abroad?,why did tom need to choose between working or going abroad?,what does tom need to choose between working or going abroad?
1317,dev-1317,This region is a habitat.,Many hummingbirds come here every year.,Habitats attract hummingbirds.,what was the name of the region where the hummingbirds come from?,what is the cause of many hummingbirds coming to the region?,what type of hummingbirds come to the region?,what was the name of the region where the hummingbirds come from?,what is the cause of many hummingbirds coming to the region?,what type of hummingbirds come to the region?
1318,dev-1318,The biologists disrupted the metabolic balance maintained by several processes in the mice.,They disrupted homeostasis in its body.,Homeostasis refers to metabolic balance maintained by several processes.,biologist biologists disrupted the metabolic balance of several processes in the mice?,biologists disrupted several processes in several processes in the mice?,what did the biologists disrupt homeostasis by disrupting homeostasis?,biologist biologists disrupted the metabolic balance of several processes in the mice?,biologists disrupted several processes in several processes in the mice?,what did the biologists disrupt homeostasis by disrupting homeostasis?
1319,dev-1319,Tom likes the smell of pure and fresh.,He drinks a cup of tea every day.,Tea has pleasant mild taste.,why does Tom likes the smell of pure and fresh cause He drinks a cup of tea every day?,why does tom drink a cup of fresh water every day?,why does Tom likes the smell of pure and fresh cause He drinks a cup of tea every day?,why does Tom likes the smell of pure and fresh cause He drinks a cup of tea every day?,why does tom drink a cup of fresh water every day?,why does Tom likes the smell of pure and fresh cause He drinks a cup of tea every day?
1320,dev-1320,Mario's bronchioles are blocked by something peculiar.,His lobules lose function soon.,Bronchioles provide air to lobules.,are bronchioles blocked by something peculiar?,what causes mario's bronchioles to lose function?,when do mario's lobules lose function?,are bronchioles blocked by something peculiar?,what causes mario's bronchioles to lose function?,when do mario's lobules lose function?
1321,dev-1321,The real story became a big screen adaptation.,Many audience commented on its dramatic effects.,Screens have dramatic effects.,why does The real story became a big screen adaptation cause Many audience commented on its dramatic effects?,the big movie adaptation of the movie?,why does The real story became a big screen adaptation cause Many audience commented on its dramatic effects?,why does The real story became a big screen adaptation cause Many audience commented on its dramatic effects?,the big movie adaptation of the movie?,why does The real story became a big screen adaptation cause Many audience commented on its dramatic effects?
1322,dev-1322,Lucy wants to observe stipules.,She picks two the small flaps at the base of the leaf.,Stipules are two small flaps at the base of the leaf.,does lucy want to observe stipules?,what is the reason for lucy picking two small flaps?,why does lucy want to observe stipules?,does lucy want to observe stipules?,what is the reason for lucy picking two small flaps?,why does lucy want to observe stipules?
1323,dev-1323,Tom did a lot of experiments.,It's proved that sound can not transmitted in vacuum.,Science provides strong evidence.,tom proved that sound can't be transmitted?,why did tom do a lot of experiments?,tom tom proved that sound can not be transmitted in vacuum?,tom proved that sound can't be transmitted?,why did tom do a lot of experiments?,tom tom proved that sound can not be transmitted in vacuum?
1324,dev-1324,Water was used as as a new source of electricity.,This hydro-energetic power manifested its own drawbacks.,Sources have drawbacks.,why does Water was used as as a new source of electricity cause This hydro-energetic power manifested its own drawbacks?,why was water used as a new source of electricity?,why does Water was used as as a new source of electricity cause This hydro-energetic power manifested its own drawbacks?,why does Water was used as as a new source of electricity cause This hydro-energetic power manifested its own drawbacks?,why was water used as a new source of electricity?,why does Water was used as as a new source of electricity cause This hydro-energetic power manifested its own drawbacks?
1325,dev-1325,Jerry was stimulated.,He had a reaction.,Stimuli lead to responses.,what type of reaction did jerry have?,what was the cause of jerry's reaction?,why does Jerry was stimulated cause He had a reaction?,what type of reaction did jerry have?,what was the cause of jerry's reaction?,why does Jerry was stimulated cause He had a reaction?
1326,dev-1326,Tom was interested in Exoskeletons.,He often observed arthropods like insects.,Exoskeletons are found principally in arthropods - insects.,what type of art was tom interested in?,why was tom interested in exoskeletons?,why was tom interested in art?,what type of art was tom interested in?,why was tom interested in exoskeletons?,why was tom interested in art?
1327,dev-1327,The wolf was hunting the antelope.,The antelope asked help from his companions.,Antelopes produce sound.,what did the antelope ask for?,why was the wolf hunting the antelope?,why does The wolf was hunting the antelope cause The antelope asked help from his companions?,what did the antelope ask for?,why was the wolf hunting the antelope?,why does The wolf was hunting the antelope cause The antelope asked help from his companions?
1328,dev-1328,Jerboas are hungry.,They pick up food by their toes.,Jerboas have toes.,jerboas pick up food by their toes?,jerboas pick up food by their toes?,jerboas pick up food by their toes because jerboas are hungry?,jerboas pick up food by their toes?,jerboas pick up food by their toes?,jerboas pick up food by their toes because jerboas are hungry?
1329,dev-1329,Tom is a sociologist.,He often studies various phenomena in life.,Sociologists are concerned with the effect of social traits on daily life.,tom tom is a sociologist?,what is tom's subject?,what does tom tom study?,tom tom is a sociologist?,what is tom's subject?,what does tom tom study?
1330,dev-1330,The weather is pleasant on the beachs.,Babes are enjoying sunshine.,Babes are located in beaches.,is the weather pleasant on the beachs?,why are babes enjoying sunshine?,why are babes enjoying sunshine?,is the weather pleasant on the beachs?,why are babes enjoying sunshine?,why are babes enjoying sunshine?
1331,dev-1331,He fastened his seat belt.,He was saved from being thrown out of the car in the car accident.,Seatbelts prevent a passenger from being thrown from the car.,what did he do to avoid being thrown out of the car?,what did he do to prevent being thrown out of the car?,why did he fastened his seat belt?,what did he do to avoid being thrown out of the car?,what did he do to prevent being thrown out of the car?,why did he fastened his seat belt?
1332,dev-1332,Kittiwakes were hungry.,They ate a lot.,Kittiwakes have healthy appetite.,why does Kittiwakes were hungry cause They ate a lot?,what was the effect of kittiwakes being hungry?,how much did kittiwakes eat?,why does Kittiwakes were hungry cause They ate a lot?,what was the effect of kittiwakes being hungry?,how much did kittiwakes eat?
1333,dev-1333,They read a very beautiful poem.,They found out that it was written by the famous poet Shelley.,Poems are written by famous poets.,who wrote a very beautiful poem?,what is the name of the famous poet?,why does They read a very beautiful poem cause They found out that it was written by the famous poet Shelley?,who wrote a very beautiful poem?,what is the name of the famous poet?,why does They read a very beautiful poem cause They found out that it was written by the famous poet Shelley?
1334,dev-1334,His mother bought him a cygnet.,Every day he catches aquatic insects to feed it.,Cygnets eat aquatic insects.,what did his mother buy him?,what did his mother buy him?,what kind of insect is cygnet?,what did his mother buy him?,what did his mother buy him?,what kind of insect is cygnet?
1335,dev-1335,Tom goes out in a down jacket in summer.,Tom is suffering from heat stroke.,Summer is the warmest part of the year.,why does Tom goes out in a down jacket in summer cause Tom is suffering from heat stroke?,what causes tom to go out in a down jacket in summer?,why does Tom goes out in a down jacket in summer cause Tom is suffering from heat stroke?,why does Tom goes out in a down jacket in summer cause Tom is suffering from heat stroke?,what causes tom to go out in a down jacket in summer?,why does Tom goes out in a down jacket in summer cause Tom is suffering from heat stroke?
1336,dev-1336,Tom went to a moor.,There he saw many species.,Heaths are home to a rich assemblage of animal species.,what were the species on the moor?,what was the effect of tom going to a moor?,why does Tom went to a moor cause There he saw many species?,what were the species on the moor?,what was the effect of tom going to a moor?,why does Tom went to a moor cause There he saw many species?
1337,dev-1337,Tim's pancreas are inflamed.,He is diagnosed with pancreatitis in the hospital.,Pancreatitis occurs when the pancreas becomes inflamed.,are tim's pancreas inflamed?,why are tim's pancreas's inflamed?,what happens to tim's pancreas in the hospital?,are tim's pancreas inflamed?,why are tim's pancreas's inflamed?,what happens to tim's pancreas in the hospital?
1338,dev-1338,Mary watched many bison in the park.,Mary found the small bison is similar to the older bison.,Bison descend from bison.,what did mary find about the small bison?,why did mary find the small bison similar to the older bison?,mary watched many bison because mary watched many bison?,what did mary find about the small bison?,why did mary find the small bison similar to the older bison?,mary watched many bison because mary watched many bison?
1339,dev-1339,Tom had suffers from some kind of stomach condition.,Tom has long-standing dyspepsia.,Illness threatens the ability to regulate physiological processes.,tom suffers from some kind of stomach condition?,what was the cause of tom's stomach condition?,does tom have long - standing dyspepeia?,tom suffers from some kind of stomach condition?,what was the cause of tom's stomach condition?,does tom have long - standing dyspepeia?
1340,dev-1340,Nobody believed Tom's code was copied by Jack.,Tom compared the two set of codes as evidence in public.,Code indicates evidence.,tom compared tom's code to jack's?,why did tom compare his code to jack's?,nobody believed tom's code was copied by jack?,tom compared tom's code to jack's?,why did tom compare his code to jack's?,nobody believed tom's code was copied by jack?
1341,dev-1341,Tom raised an ant cub at home.,He found that the mouthparts of this little ant were slowly getting bigger with age.,Mouthparts are the most variable of all insect characteristics.,who raised an ant cub at home?,did tom raise an ant cub at home?,were the mouthparts of the ant getting bigger or smaller with age?,who raised an ant cub at home?,did tom raise an ant cub at home?,were the mouthparts of the ant getting bigger or smaller with age?
1342,dev-1342,I fed the hummingbird in my cage twice a day.,It could not maintain its high metabolism.,Hummingbirds eat every ten minutes to keep up with there high metabolism.,how could a hummingbird maintain its high diet?,why couldn't the hummingbird maintain a high metabolism?,why couldn't the hummingbird maintain its high metabolism?,how could a hummingbird maintain its high diet?,why couldn't the hummingbird maintain a high metabolism?,why couldn't the hummingbird maintain its high metabolism?
1343,dev-1343,The road should be of high strength.,The road was made of concrete.,Concrete has strength.,what is the name of the type of material that is used in road construction?,why does The road should be of high strength cause The road was made of concrete?,what is the name of the province in which the road is located?,what is the name of the type of material that is used in road construction?,why does The road should be of high strength cause The road was made of concrete?,what is the name of the province in which the road is located?
1344,dev-1344,Tom has lost his way.,Tom took out the map and began to determine his location.,Maps indicate locations.,tom has lost his way so tom took out the map to find his way?,what caused tom to lose his way?,what did tom do when he lost his way?,tom has lost his way so tom took out the map to find his way?,what caused tom to lose his way?,what did tom do when he lost his way?
1345,dev-1345,Tom's mother has allergies-hay fever.,Tom also has allergies- hay fever.,Allergies also seem to run in families - parents with hay fever often have children with allergies.,does tom's mother have allergies?,what is the effect of tom's mother having allergies?,"besides allergies - hay fever, what else does tom have?",does tom's mother have allergies?,what is the effect of tom's mother having allergies?,"besides allergies - hay fever, what else does tom have?"
1346,dev-1346,He jointed too many activities.,He felt tired.,Activities have negative effects.,did he feel tired because he jointed too many activities?,what was the cause of his tiredness?,why did he feel tired?,did he feel tired because he jointed too many activities?,what was the cause of his tiredness?,why did he feel tired?
1347,dev-1347,There is a tumor in the patient's blood vessel.,His blood vessel are obstructed.,Tumours are also a frequent cause of obstruction.,what happens to the patient's blood vessel?,what is the cause of the tumor in the patient's blood vessel?,why does There is a tumor in the patient's blood vessel cause His blood vessel are obstructed?,what happens to the patient's blood vessel?,what is the cause of the tumor in the patient's blood vessel?,why does There is a tumor in the patient's blood vessel cause His blood vessel are obstructed?
